Nombre,Cargo,Sexo,Departamento,Ciudades,Tipo de Agrupación,Nombre de Agrupación,Contar_x,201 - Gastos de Administración,202 - Gastos de oficina y adquisiciones,203 - Inversión en materiales y publicaciones,204 - Actos públicos,205 - Servicio de transporte y correo,206 - Gastos de capacitación e investigación politica,207 - Gastos judiciales y de rendición de cuentas,208 - Gastos de propaganda electoral,209 - Costos financieros,211 - Otros gastos,Total de Gastos,proportion 201 - Gastos de Administración,proportion 202 - Gastos de oficina y adquisiciones,proportion 203 - Inversión en materiales y publicaciones,proportion 204 - Actos públicos,proportion 205 - Servicio de transporte y correo,proportion 206 - Gastos de capacitación e investigación politica,proportion 207 - Gastos judiciales y de rendición de cuentas,proportion 208 - Gastos de propaganda electoral,proportion 209 - Costos financieros,proportion 211 - Otros gastos,Contar_y,101 - Recursos propios y familiares,102 - Donaciones de particulares,106 - Recursos de origen privado destinado por los partidos,107 - Rendimientos financieros,104 - Ingresos de actos públicos del partido,103 - Créditos de entidades financieras,105 - Financiación estatal - Anticipos,Total de Ingresos,proportion 101 - Recursos propios y familiares,proportion 102 - Donaciones de particulares,proportion 106 - Recursos de origen privado destinado por los partidos,proportion 107 - Rendimientos financieros,proportion 104 - Ingresos de actos públicos del partido,proportion 103 - Créditos de entidades financieras,proportion 105 - Financiación estatal - Anticipos,departamento_normalizado,ciudad_normalizado,DEPARTAMENTO,MUNICIPIO,TOTAL,TOPE GASTOS,MAX_CURUL,GERENTE DE CAMPAÑA,TOPE DONACIONES,Indice_Gastos,Indice_Donaciones,Indice_Cumplimiento_Total,Cluster,Anomaly_Label_x,Anomaly,Anomaly_Label_y
ferley_figueroa_parada,Alcaldia_fun,M,Vichada,Santa Rosalía,Agrupacion Politica,"MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL ""MAIS""",35.0,4320000.0,0.0,0.0,3935000.0,27000000.0,0.0,0.0,21760000.0,0.0,17777000.0,74792000.0,0.0577601882554283,0.0,0.0,0.0526125788854422,0.3610011765964274,0.0,0.0,0.2909402075088245,0.0,0.2376858487538774,5.0,254760000.0,0.0,0.0,0.0,0.0,0.0,0.0,254760000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,vichada,santa rosalia,VICHADA,SANTA ROSALIA,3377.0,144319596.0,1.0,NO,14431959.6,0.5182387012779609,0.0,0.2591193506389804,0,Normal,1.0,Normal
ferlis_narvaez_cordero,Alcaldia_fun,M,Antioquia,Necoclí,Agrupacion Politica,MOVIMIENTO ALIANZA DEMOCRATICA AMPLIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,antioquia,necocli,ANTIOQUIA,NECOCLI,38194.0,274894466.0,1.0,SI,27489446.6,0.0007275519326023,0.0,0.0003637759663011,0,Normal,1.0,Normal
fermin_abel_carrascal_rubio,Alcaldia_fun,M,Norte de Santander,El Tarra,Agrupacion Politica,MOVIMIENTO FUERZA CIUDADANA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,norte de santander,el tarra,NORTE DE SANTANDER,EL TARRA,15765.0,144319596.0,1.0,NO,14431959.6,0.0006929065959968,0.0069290659599684,0.0038109862779826,0,Normal,1.0,Normal
fermin_antonio_cañon_villamil,Alcaldia_fun,M,Boyacá,Pauna,Coalicion Politica,NUESTRO COMPROMISO ES PAUNA,12.0,0.0,950000.0,2400000.0,2652000.0,6770133.0,0.0,0.0,500000.0,0.0,0.0,13272133.0,0.0,0.0715785473216701,0.1808300142863246,0.1998171657863886,0.5101013529626323,0.0,0.0,0.0376729196429842,0.0,0.0,1.0,13272133.0,0.0,0.0,0.0,0.0,0.0,0.0,13272133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,boyaca,pauna,BOYACA,PAUNA,6999.0,144319596.0,1.0,NO,14431959.6,0.091963484986474,0.0,0.045981742493237,0,Normal,1.0,Normal
fermin_augusto_cruz_quintero,Alcaldia_fun,M,Cesar,La Gloria,Agrupacion Politica,PARTIDO CONSERVADOR COLOMBIANO,41.0,18300000.0,0.0,13350000.0,14400000.0,20752500.0,0.0,2477500.0,29070000.0,0.0,0.0,98350000.0,0.1860701576004067,0.0,0.1357397051347229,0.1464158617183528,0.2110066090493136,0.0,0.0251906456532791,0.2955770208439247,0.0,0.0,6.0,94000000.0,0.0,0.0,0.0,0.0,0.0,0.0,94000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cesar,la gloria,CESAR,LA GLORIA,11493.0,144319596.0,1.0,NO,14431959.6,0.6814736371628978,0.0,0.3407368185814489,0,Normal,1.0,Normal
fermin_erney_barajas_santamaria,Alcaldia_fun,M,Santander,San Andrés,Agrupacion Politica,"MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL ""MAIS""",2.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,150000.0,100000.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,santander,san andres,SANTANDER,SAN ANDRES,6845.0,144319596.0,1.0,NO,14431959.6,0.0017322664899921,0.0069290659599684,0.0043306662249802,0,Normal,1.0,Normal
fermin_vasquez_acuña,Alcaldia_fun,M,Bolívar,Río Viejo,Agrupacion Politica,PARTIDO LIBERAL COLOMBIANO,3.0,0.0,0.0,0.0,17158400.0,24000000.0,0.0,2000000.0,0.0,0.0,0.0,43158400.0,0.0,0.0,0.0,0.3975680284718618,0.5560910506413583,0.0,0.0463409208867798,0.0,0.0,0.0,1.0,34579200.0,0.0,0.0,0.0,0.0,0.0,0.0,34579200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bolivar,rioviejo,BOLIVAR,RIOVIEJO,6856.0,144319596.0,1.0,NO,14431959.6,0.2990474003267027,0.0,0.1495237001633513,0,Normal,1.0,Normal
fernando_albeiro_araujo_ordoñez,Alcaldia_fun,M,Nariño,Colón,Agrupacion Politica,PARTIDO CAMBIO RADICAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,narino,colon (genova),NARIÑO,COLON (GENOVA),7050.0,144319596.0,1.0,NO,14431959.6,0.0034645329799842,0.0,0.0017322664899921,0,Normal,1.0,Normal
fernando_alberto_quiceno_hoyos,Alcaldia_fun,M,Caldas,Riosucio,Agrupacion Politica,PARTIDO POLITICO GENTE EN MOVIMIENTO,6.0,1500000.0,0.0,0.0,0.0,3000000.0,0.0,50000.0,1640000.0,0.0,0.0,6190000.0,0.2423263327948303,0.0,0.0,0.0,0.4846526655896607,0.0,0.0080775444264943,0.2649434571890145,0.0,0.0,3.0,4355000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,5355000.0,0.8132586367880486,0.1867413632119514,0.0,0.0,0.0,0.0,0.0,caldas,riosucio,CALDAS,RIOSUCIO,40817.0,274894466.0,1.0,SI,27489446.6,0.0225177323140437,0.0363775966301191,0.0294476644720814,0,Normal,1.0,Normal
fernando_alexander_serrato_fonseca,Alcaldia_fun,M,Boyacá,Duitama,Coalicion Politica,DUITAMA UNA SOLA FAMILIA,127.0,0.0,12000000.0,0.0,6780156.0,0.0,0.0,2000000.0,253682263.0,744166.0,0.0,275206585.0,0.0,0.0436036078133813,0.0,0.024636605261462,0.0,0.0,0.0072672679688968,0.9217884920885886,0.002704026867671,0.0,18.0,291100000.0,0.0,0.0,0.0,0.0,0.0,0.0,291100000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,boyaca,duitama,BOYACA,DUITAMA,94696.0,824683400.0,1.0,SI,82468340.0,0.3337118038267776,0.0,0.1668559019133888,0,Normal,-1.0,Anomalía
