PCA1,PCA2,Departamento,Ciudades,Gasto_Ingreso_Ratio,Cluster,Anomaly
1.5854164894990457,2.075508689387329,1.0,46.0,0.999999997026804,3,-1
0.9864301182149803,1.2781410012873466,10.0,296.0,0.7954545454545454,3,-1
1.014819783620106,1.0110522062505034,30.0,641.0,0.9290857253614129,3,-1
0.8323461622408896,1.0126544157419644,10.0,226.0,1.0314042536812054,3,-1
1.6631281220883734,1.6818418804602993,14.0,539.0,1.0,3,-1
0.8795843449717554,0.6661918035276064,1.0,859.0,0.5718715476981212,0,-1
1.3820931103266902,1.4173392735965065,30.0,596.0,0.9996936461538461,3,-1
7.100192083971824,7.785082003133477,,,0.0,2,-1
1.768148345985697,2.2444114485493967,17.0,904.0,0.9930573333333333,3,-1
1.863062650886369,2.1457736392186835,19.0,634.0,1.0,3,-1
2.1552704008414802,2.337654286027352,18.0,254.0,0.3839835728952772,3,-1
1.9664938326120855,2.3294664596472816,6.0,453.0,1.0,3,-1
1.2499552097083564,1.1674358495832922,1.0,178.0,1.0,3,-1
5.85847472304682,6.1010587289578995,5.0,144.0,1.0,2,-1
1.8649895511615104,2.3331910429768388,28.0,846.0,1.0818252949649654,3,-1
2.583306355608636,2.5322776513704954,6.0,608.0,0.5314164916853567,3,-1
5.7706416484530445,4.418794802196613,9.0,639.0,1.0,2,-1
2.409457635186075,2.8791254664837096,30.0,134.0,1.1820913251817582,3,-1
1.5360331394603732,1.4311679650322868,7.0,707.0,1.0,3,-1
0.9819955589003473,1.2610628600015517,14.0,153.0,1.1049582255517871,3,-1
4.969977567535918,5.501965883200128,30.0,125.0,0.99637,2,-1
1.2205633326453835,0.7698353190333459,27.0,872.0,1.0647811428571428,3,-1
1.0034987459770228,0.4038849332543385,27.0,215.0,1.630084088202389,0,-1
2.058181039728693,1.6078066536346516,1.0,1013.0,0.9999343888703347,3,-1
2.613234415366245,-1.4095586235777258,6.0,618.0,0.82319261,0,-1
1.4079011728796709,1.5732116335881494,24.0,131.0,0.5,3,-1
0.9116931521580431,0.8958169096397548,11.0,587.0,0.5051105595859559,3,-1
1.2087713436596705,1.395310853088163,20.0,162.0,43.65031179403969,3,-1
