PCA1,PCA2,Departamento,Ciudades,Gasto_Ingreso_Ratio,Cluster,Anomaly
-0.3202732844907212,-0.27644030916601947,1.0,794.0,0.44282238442822386,0,1
-0.3208169134622223,-0.44760407755955667,5.0,917.0,1.08,0,1
-0.46840410792380927,-0.4972592191913482,21.0,697.0,1.0,0,1
-0.43079835411459105,-0.3393969651193316,3.0,717.0,1.1523809523809523,0,1
-0.2735026151652867,0.07568440635009072,5.0,66.0,1.0,0,1
0.6073466366742092,0.6792334907656059,7.0,705.0,0.9386090729483283,0,1
-0.46768424870730957,-0.2879983436858673,19.0,288.0,0.9980392156862745,0,1
-0.09064073703287794,-0.06667036777815966,23.0,661.0,1.0,0,1
-0.5084743633758628,-0.35799188173203894,27.0,334.0,0.11320754716981132,0,1
-0.44677586322617807,-0.1536013789031941,13.0,165.0,0.6156167068359498,0,1
-0.45258272808308075,-0.19018730222369162,17.0,139.0,0.9929078014184397,0,1
-0.5232248039343438,-0.38685011079288406,29.0,322.0,1.0,0,1
-0.39186184672807683,-0.0672905067690599,20.0,3.0,1.0,0,1
0.16117670810133364,0.20778699548703344,5.0,781.0,0.40062878320418227,0,1
0.08239304158069725,0.2298674229556796,5.0,499.0,0.9427374149659864,0,1
-0.37713121704878527,-0.6675821396804503,27.0,926.0,1.6106870229007633,0,1
-0.40068469341083324,-0.1544258457347519,12.0,155.0,1.0,0,1
-0.07825119769421741,0.006585935424700913,30.0,356.0,1.0969319735006973,0,1
0.6104100800763685,0.7337150197506005,14.0,555.0,0.39865771812080536,0,1
-0.05528247958480615,-0.3828827689484849,6.0,853.0,1.1520802708088862,0,1
-0.3709181830043552,-0.020659923902135266,11.0,13.0,1.0,0,1
-0.5557938504622992,-0.6410803724134053,28.0,846.0,1.0,0,1
1.5854164894990457,2.075508689387329,1.0,46.0,0.999999997026804,3,-1
0.06089015065673212,0.3745669560274658,7.0,183.0,1.0015910254307132,0,1
0.9864301182149803,1.2781410012873466,10.0,296.0,0.7954545454545454,3,-1
-0.4689797149880826,-0.40134020220632516,5.0,773.0,1.0,0,1
1.014819783620106,1.0110522062505034,30.0,641.0,0.9290857253614129,3,-1
-0.27218598209161016,0.151643007883408,1.0,46.0,0.7801078569780854,0,1
-0.5012542946107558,-0.4202273628125076,27.0,420.0,0.9739453453606771,0,1
-0.24713648129789656,-0.14324028356176408,27.0,420.0,0.4988264813237897,0,1
0.8323461622408896,1.0126544157419644,10.0,226.0,1.0314042536812054,3,-1
-0.0976718054653628,-0.3390701131573496,14.0,670.0,1.0006715160791473,0,1
-0.24900594478303634,-0.0602420406388425,1.0,215.0,0.9987808666666667,0,1
-0.5048673682940649,-0.44794656287224877,30.0,453.0,0.9543210880351398,0,1
-0.33204668629340905,-0.23721752197477072,14.0,333.0,1.0,0,1
-0.35403739291799874,-0.23529353395920802,30.0,314.0,1.2236233711643547,0,1
-0.06633050049490521,0.05394376066151771,7.0,504.0,1.0004685598325258,0,1
0.3965201082341885,0.3867562113554112,14.0,347.0,1.0970272502064409,0,1
-0.5204923939927932,-0.5454931968077817,29.0,642.0,0.972,0,1
-0.454756350930173,-0.28286131162596545,5.0,525.0,0.6818181818181818,0,1
1.6631281220883734,1.6818418804602993,14.0,539.0,1.0,3,-1
0.18342447018348776,0.3897636103112879,,,0.0,0,1
-0.4714883687913402,-0.36620280706020514,21.0,247.0,0.46715328467153283,0,1
