Nombre,Cargo,Sexo,Departamento,Ciudades,Tipo de Agrupación,Nombre de Agrupación,Contar_x,201 - Gastos de Administración,202 - Gastos de oficina y adquisiciones,203 - Inversión en materiales y publicaciones,204 - Actos públicos,205 - Servicio de transporte y correo,206 - Gastos de capacitación e investigación politica,207 - Gastos judiciales y de rendición de cuentas,208 - Gastos de propaganda electoral,209 - Costos financieros,211 - Otros gastos,Total de Gastos,proportion 201 - Gastos de Administración,proportion 202 - Gastos de oficina y adquisiciones,proportion 203 - Inversión en materiales y publicaciones,proportion 204 - Actos públicos,proportion 205 - Servicio de transporte y correo,proportion 206 - Gastos de capacitación e investigación politica,proportion 207 - Gastos judiciales y de rendición de cuentas,proportion 208 - Gastos de propaganda electoral,proportion 209 - Costos financieros,proportion 211 - Otros gastos,Contar_y,101 - Recursos propios y familiares,102 - Donaciones de particulares,106 - Recursos de origen privado destinado por los partidos,107 - Rendimientos financieros,104 - Ingresos de actos públicos del partido,103 - Créditos de entidades financieras,105 - Financiación estatal - Anticipos,Total de Ingresos,proportion 101 - Recursos propios y familiares,proportion 102 - Donaciones de particulares,proportion 106 - Recursos de origen privado destinado por los partidos,proportion 107 - Rendimientos financieros,proportion 104 - Ingresos de actos públicos del partido,proportion 103 - Créditos de entidades financieras,proportion 105 - Financiación estatal - Anticipos
jaime_noriega_mier,Alcaldia_fun,M,Bolívar,Calamar,Agrupacion Politica,PARTIDO POLITICO ESPERANZA DEMOCRATICA,1.0,0.0,0.0,0.0,2500000.0,0.0,0.0,600000.0,1500000.0,0.0,0.0,4600000.0,0.0,0.0,0.0,0.5434782608695652,0.0,0.0,0.13043478260869565,0.32608695652173914,0.0,0.0,1.0,4600000.0,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jaime_nuñez_escudero,Alcaldia_fun,M,Huila,Palestina,Agrupacion Politica,PARTIDO POLITICO LA FUERZA DE LA PAZ,6.0,6400000.0,140000.0,0.0,0.0,5500000.0,0.0,0.0,1217000.0,0.0,0.0,13257000.0,0.4827638228860225,0.01056045862563174,0.0,0.0,0.41487516029267557,0.0,0.0,0.0918005581956702,0.0,0.0,12.0,1300000.0,5607000.0,0.0,0.0,0.0,0.0,0.0,6907000.0,0.1882148544954394,0.8117851455045606,0.0,0.0,0.0,0.0,0.0
jaime_orlando_olmos_mantilla,Alcaldia_fun,M,Bolívar,El Carmen de Bolivar,Agrupacion Politica,"MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA ""AICO""",1.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jaime_oswaldo_marinez_quiñones,Alcaldia_fun,M,Valle del Cauca,Buenaventura,Coalicion Politica,UNIDOS PODEMOS,3.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71286.0,9320000.0,14391286.0,0.34743246711933873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004953414170213837,0.6476141187104474,4.0,4400000.0,47000000.0,30000000.0,0.0,0.0,0.0,0.0,81400000.0,0.05405405405405406,0.5773955773955773,0.36855036855036855,0.0,0.0,0.0,0.0
jaime_portocarrero_banguera,Alcaldia_fun,M,Cauca,Guapi,Agrupacion Politica,PARTIDO POLITICO LA FUERZA DE LA PAZ,6.0,6150000.0,3100000.0,0.0,9350000.0,22550000.0,0.0,0.0,0.0,0.0,17850000.0,59000000.0,0.10423728813559321,0.05254237288135593,0.0,0.15847457627118644,0.3822033898305085,0.0,0.0,0.0,0.0,0.30254237288135594,4.0,117840000.0,0.0,0.0,0.0,0.0,0.0,0.0,117840000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jaime_rafael_porto_perez,Alcaldia_fun,M,Sucre,San Luis de Sincé,Coalicion Politica,POR RESPETO A SINCÉ,23.0,12300000.0,240000.0,5000000.0,18062000.0,6500000.0,0.0,15000000.0,17196000.0,0.0,0.0,74298000.0,0.1655495437293063,0.0032302349995962207,0.06729656249158793,0.24310210234461224,0.08748553123906432,0.0,0.2018896874747638,0.2314463377210692,0.0,0.0,1.0,0.0,9450000.0,60000000.0,0.0,0.0,0.0,0.0,69450000.0,0.0,0.13606911447084233,0.8639308855291576,0.0,0.0,0.0,0.0
jaime_rios_alvarez,Alcaldia_fun,M,Valle del Cauca,Roldanillo,Agrupacion Politica,"PARTIDO DE LA UNION POR LA GENTE ""PARTIDO DE LA U""",14.0,3120000.0,0.0,0.0,4100000.0,2270000.0,0.0,5400000.0,46787300.0,545798.0,0.0,62223098.0,0.0501421513920763,0.0,0.0,0.06589192971394642,0.03648162937820936,0.0,0.08678449279397821,0.751928166611055,0.008771630110734762,0.0,7.0,20000000.0,37984000.0,0.0,0.0,0.0,0.0,0.0,57984000.0,0.34492273730684325,0.6550772626931567,0.0,0.0,0.0,0.0,0.0
jaime_sain_cuadros_guerrero,Alcaldia_fun,M,Norte de Santander,Salazar,Agrupacion Politica,MOVIMIENTO DE SALVACION NACIONAL,2.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6000000.0,500000.0,0.0,0.0,0.0,0.0,0.0,6500000.0,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
jaime_uriel_mejia_zuluaga,Alcaldia_fun,M,Caquetá,Belén de Los Andaquies,Agrupacion Politica,MOVIMIENTO FUERZA CIUDADANA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jainer_david_polo_lopez,Alcaldia_fun,M,Valle del Cauca,El Cairo,Agrupacion Politica,PARTIDO CONSERVADOR COLOMBIANO,3.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400000.0,5000000.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
