Nombre,Cargo,Sexo,Departamento,Ciudades,Tipo de Agrupación,Nombre de Agrupación,Contar_x,201 - Gastos de Administración,202 - Gastos de oficina y adquisiciones,203 - Inversión en materiales y publicaciones,204 - Actos públicos,205 - Servicio de transporte y correo,206 - Gastos de capacitación e investigación politica,207 - Gastos judiciales y de rendición de cuentas,208 - Gastos de propaganda electoral,209 - Costos financieros,211 - Otros gastos,Total de Gastos,proportion 201 - Gastos de Administración,proportion 202 - Gastos de oficina y adquisiciones,proportion 203 - Inversión en materiales y publicaciones,proportion 204 - Actos públicos,proportion 205 - Servicio de transporte y correo,proportion 206 - Gastos de capacitación e investigación politica,proportion 207 - Gastos judiciales y de rendición de cuentas,proportion 208 - Gastos de propaganda electoral,proportion 209 - Costos financieros,proportion 211 - Otros gastos,Contar_y,101 - Recursos propios y familiares,102 - Donaciones de particulares,106 - Recursos de origen privado destinado por los partidos,107 - Rendimientos financieros,104 - Ingresos de actos públicos del partido,103 - Créditos de entidades financieras,105 - Financiación estatal - Anticipos,Total de Ingresos,proportion 101 - Recursos propios y familiares,proportion 102 - Donaciones de particulares,proportion 106 - Recursos de origen privado destinado por los partidos,proportion 107 - Rendimientos financieros,proportion 104 - Ingresos de actos públicos del partido,proportion 103 - Créditos de entidades financieras,proportion 105 - Financiación estatal - Anticipos,departamento_normalizado,ciudad_normalizado,DEPARTAMENTO,MUNICIPIO,TOTAL,TOPE GASTOS,MAX_CURUL,GERENTE DE CAMPAÑA,TOPE DONACIONES,Indice_Gastos,Indice_Donaciones,Indice_Cumplimiento_Total
jhonattan_alejandro_londoño_melo,Alcaldia_fun,M,Putumayo,Sibundoy,Agrupacion Politica,PARTIDO LIBERAL COLOMBIANO,17.0,5400000.0,833300.0,2530000.0,0.0,2300000.0,0.0,800000.0,26010000.0,0.0,0.0,37873300.0,0.14258065708559856,0.022002307694338755,0.06680167822714154,0.0,0.060728798388310495,0.0,0.021123060308977565,0.6867634982956331,0.0,0.0,3.0,40000000.0,2600000.0,0.0,0.0,0.0,0.0,0.0,42600000.0,0.9389671361502347,0.06103286384976526,0.0,0.0,0.0,0.0,0.0,putumayo,sibundoy,PUTUMAYO,SIBUNDOY,11165.0,144319596.0,1.0,NO,14431959.600000001,0.2624265938216734,0.1801557149591799,0.22129115439042663
jhonn_kenyde_triana_osmas,Alcaldia_fun,M,Meta,Puerto Lleras,Agrupacion Politica,"PARTIDO DE LA UNION POR LA GENTE ""PARTIDO DE LA U""",8.0,1000000.0,3000000.0,0.0,24052000.0,19900000.0,0.0,800000.0,14020000.0,0.0,0.0,62772000.0,0.015930669725355253,0.04779200917606576,0.0,0.38316446823424455,0.31702032753456955,0.0,0.012744535780284203,0.22334798954948065,0.0,0.0,3.0,61972000.0,800000.0,0.0,0.0,0.0,0.0,0.0,62772000.0,0.9872554642197158,0.012744535780284203,0.0,0.0,0.0,0.0,0.0,meta,puerto lleras,META,PUERTO LLERAS,7336.0,144319596.0,1.0,NO,14431959.600000001,0.43495132843914003,0.055432527679747656,0.24519192805944384
jhonny_alberto_marin_muñeton,Alcaldia_fun,M,Antioquia,Toledo,Coalicion Politica,PARTIDO CONSERVADOR-PARTIDO LIBERAL-PARTIDO CAMBIO RADICAL-PARTIDO COLOMBIA RENACIENTE,10.0,10980000.0,0.0,6900000.0,6000000.0,9000000.0,0.0,0.0,0.0,0.0,0.0,32880000.0,0.33394160583941607,0.0,0.20985401459854014,0.18248175182481752,0.2737226277372263,0.0,0.0,0.0,0.0,0.0,1.0,28880000.0,0.0,0.0,0.0,0.0,0.0,0.0,28880000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,antioquia,toledo,ANTIOQUIA,TOLEDO,4684.0,144319596.0,1.0,NO,14431959.600000001,0.2278276887637629,0.0,0.11391384438188144
jhonny_alejandro_muñoz_gutierrez,Alcaldia_fun,M,Cauca,Timbío,Grupo Politico,CONECTEMOS JUNTOS,212.0,5500000.0,10039600.0,22521384.0,36590239.0,62849329.0,1500000.0,2000000.0,28398200.0,187877.0,21518532.0,191105161.0,0.02877996581159836,0.05253442632038598,0.11784812028179606,0.19146651408331145,0.32887300725489044,0.00784908158498137,0.010465442113308495,0.14859985911107865,0.00098310793396103,0.11260047550468823,10.0,167105161.0,24000000.0,0.0,0.0,0.0,0.0,0.0,191105161.0,0.8744146946402981,0.12558530535970192,0.0,0.0,0.0,0.0,0.0,cauca,timbio,CAUCA,TIMBIO,28229.0,274894466.0,1.0,SI,27489446.6,0.6951946460791976,0.8730623191228593,0.7841284826010284
jhonny_alexander_salamanca_segura,Alcaldia_fun,M,Cundinamarca,Funza,Coalicion Politica,PACTO HISTORICO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,cundinamarca,funza,CUNDINAMARCA,FUNZA,77048.0,824683400.0,1.0,SI,82468340.0,0.0004850346205586289,0.0048503462055862895,0.0026676904130724594
jhonny_alexis_perdomo_rodriguez,Alcaldia_fun,M,Tolima,Flandes,Coalicion Politica,FLANDES CON RESULTADOS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,15000000.0,0.0,0.0,16200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.9259259259259259,0.0,0.0,2.0,16200000.0,0.0,0.0,0.0,0.0,0.0,0.0,16200000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,tolima,flandes,TOLIMA,FLANDES,19193.0,144319596.0,1.0,NO,14431959.600000001,0.11225086855148901,0.0,0.056125434275744505
jhonny_jaiber_casanova_lopez,Alcaldia_fun,M,Guaviare,El Retorno,Coalicion Politica,"COALICION PARTIDO DE LA U, ASI, VERDE, FUERZA PARA LA PAZ",25.0,34200000.0,0.0,0.0,7514260.0,7500000.0,0.0,24000000.0,11722000.0,313740.0,0.0,85250000.0,0.40117302052785925,0.0,0.0,0.08814381231671554,0.08797653958944282,0.0,0.28152492668621704,0.13750146627565982,0.0036802346041055717,0.0,9.0,70250000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,88250000.0,0.7960339943342776,0.20396600566572237,0.0,0.0,0.0,0.0,0.0,guaviare,el retorno,GUAVIARE,EL RETORNO,9977.0,144319596.0,1.0,NO,14431959.600000001,0.5907028730873111,1.2472318727943223,0.9189673729408168
jhonny_stevenson_giraldo_aragon,Alcaldia_fun,M,Meta,Acacias,Agrupacion Politica,INDEPENDIENTES,17.0,2800000.0,0.0,0.0,0.0,0.0,0.0,6300000.0,40000400.0,40150.0,0.0,49140550.0,0.05697941923726942,0.0,0.0,0.0,0.0,0.0,0.1282036932838562,0.8139998433065971,0.0008170441722772741,0.0,9.0,15100000.0,31000000.0,0.0,1579.0,0.0,0.0,0.0,46101579.0,0.32753758824616397,0.6724281613000718,0.0,3.42504537642843e-05,0.0,0.0,0.0,meta,acacias,META,ACACIAS,71398.0,824683400.0,1.0,SI,82468340.0,0.05958717005823083,0.37590183093293744,0.21774450049558414
jhony_alberto_restrepo_osorio,Alcaldia_fun,M,Caldas,Marulanda,Agrupacion Politica,PARTIDO LIBERAL COLOMBIANO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,caldas,marulanda,CALDAS,MARULANDA,2423.0,144319596.0,1.0,NO,14431959.600000001,0.0055432527679747665,0.0,0.0027716263839873832
jhony_enrique_llorente_cavadia,Alcaldia_fun,M,Córdoba,Momil,Agrupacion Politica,MOVIMIENTO POLITICO COLOMBIA HUMANA,1.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cordoba,momil,CORDOBA,MOMIL,15214.0,144319596.0,1.0,NO,14431959.600000001,5.543252767974767e-06,0.0,2.7716263839873833e-06
