Nombre,Cargo,Sexo,Departamento,Ciudades,Tipo de Agrupación,Nombre de Agrupación,Contar_x,201 - Gastos de Administración,202 - Gastos de oficina y adquisiciones,203 - Inversión en materiales y publicaciones,204 - Actos públicos,205 - Servicio de transporte y correo,206 - Gastos de capacitación e investigación politica,207 - Gastos judiciales y de rendición de cuentas,208 - Gastos de propaganda electoral,209 - Costos financieros,211 - Otros gastos,Total de Gastos,proportion 201 - Gastos de Administración,proportion 202 - Gastos de oficina y adquisiciones,proportion 203 - Inversión en materiales y publicaciones,proportion 204 - Actos públicos,proportion 205 - Servicio de transporte y correo,proportion 206 - Gastos de capacitación e investigación politica,proportion 207 - Gastos judiciales y de rendición de cuentas,proportion 208 - Gastos de propaganda electoral,proportion 209 - Costos financieros,proportion 211 - Otros gastos,Contar_y,101 - Recursos propios y familiares,102 - Donaciones de particulares,106 - Recursos de origen privado destinado por los partidos,107 - Rendimientos financieros,104 - Ingresos de actos públicos del partido,103 - Créditos de entidades financieras,105 - Financiación estatal - Anticipos,Total de Ingresos,proportion 101 - Recursos propios y familiares,proportion 102 - Donaciones de particulares,proportion 106 - Recursos de origen privado destinado por los partidos,proportion 107 - Rendimientos financieros,proportion 104 - Ingresos de actos públicos del partido,proportion 103 - Créditos de entidades financieras,proportion 105 - Financiación estatal - Anticipos,departamento_normalizado,ciudad_normalizado,DEPARTAMENTO,MUNICIPIO,TOTAL,TOPE GASTOS,MAX_CURUL,GERENTE DE CAMPAÑA,TOPE DONACIONES,Indice_Gastos,Indice_Donaciones,Indice_Cumplimiento_Total
abad_de_jesus_marin_arcila,Alcaldia_fun,M,Antioquia,San Rafael,Agrupacion Politica,PARTIDO COLOMBIA RENACIENTE,4.0,0.0,0.0,0.0,0.0,10400000.0,0.0,200000.0,6030000.0,0.0,1570000.0,18200000.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.01098901098901099,0.3313186813186813,0.0,0.08626373626373626,4.0,29000000.0,100000.0,12000000.0,0.0,0.0,0.0,0.0,41100000.0,0.7055961070559611,0.0024330900243309003,0.291970802919708,0.0,0.0,0.0,0.0,antioquia,san rafael,ANTIOQUIA,SAN RAFAEL,13422.0,144319596.0,1.0,NO,14431959.600000001,0.12610900047142592,0.006929065959968457,0.06651903321569719
abel_alberto_polanco_lemos,Alcaldia_fun,M,Bolívar,Tiquisio,Agrupacion Politica,PARTIDO NUEVO LIBERALISMO,19.0,0.0,0.0,3000000.0,13700000.0,9800000.0,0.0,500000.0,0.0,0.0,0.0,27000000.0,0.0,0.0,0.1111111111111111,0.5074074074074074,0.362962962962963,0.0,0.018518518518518517,0.0,0.0,0.0,1.0,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,25000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bolivar,tiquisio (pto. rico),BOLIVAR,TIQUISIO (PTO. RICO),14987.0,144319596.0,1.0,NO,14431959.600000001,0.18708478091914835,0.0,0.09354239045957417
abel_angel_quiñones_urbano,Alcaldia_fun,M,Nariño,Ricaurte,Agrupacion Politica,"MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA ""AICO""",6.0,6300000.0,0.0,0.0,0.0,0.0,0.0,2100000.0,1100000.0,0.0,0.0,9500000.0,0.6631578947368421,0.0,0.0,0.0,0.0,0.0,0.22105263157894736,0.11578947368421053,0.0,0.0,1.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0,9500000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,narino,ricaurte,NARIÑO,RICAURTE,19254.0,144319596.0,1.0,NO,14431959.600000001,0.06582612661970035,0.0,0.03291306330985017
abel_antonio_cepeda_macias,Alcaldia_fun,M,Atlántico,Sabanalarga,Agrupacion Politica,PARTIDO DEMOCRATA COLOMBIANO,15.0,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,7300000.0,0.0,0.0,12100000.0,0.0,0.0,0.39669421487603307,0.0,0.0,0.0,0.0,0.6033057851239669,0.0,0.0,3.0,10500000.0,0.0,0.0,0.0,0.0,0.0,0.0,10500000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,atlantico,sabanalarga,ATLANTICO,SABANALARGA,74771.0,824683400.0,1.0,SI,82468340.0,0.014672297271898525,0.0,0.007336148635949263
abel_antonio_paternina_orozco,Alcaldia_fun,M,Bolívar,Arroyohondo,Coalicion Politica,NUEVO LIBERALISMO - CAMBIO RADICAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5375000.0,0.0,3480000.0,8855000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6070016939582157,0.0,0.3929983060417843,3.0,5375000.0,3480000.0,0.0,0.0,0.0,0.0,0.0,8855000.0,0.6070016939582157,0.3929983060417843,0.0,0.0,0.0,0.0,0.0,bolivar,arroyo hondo,BOLIVAR,ARROYO HONDO,10066.0,144319596.0,1.0,NO,14431959.600000001,0.0613568790755207,0.24113149540690232,0.1512441872412115
abel_david_jaramillo_largo,Alcaldia_fun,M,Caldas,Riosucio,Agrupacion Politica,"MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL ""MAIS""",11.0,2000000.0,0.0,5993000.0,22180627.0,9500000.0,0.0,15000000.0,7086850.0,0.0,0.0,61760477.0,0.032383169579470704,0.0,0.09703616764488396,0.35913950275999323,0.15382005550248584,0.0,0.24287377184603026,0.11474733266713598,0.0,0.0,14.0,19000000.0,46800000.0,0.0,0.0,0.0,0.0,0.0,65800000.0,0.2887537993920973,0.7112462006079028,0.0,0.0,0.0,0.0,0.0,caldas,riosucio,CALDAS,RIOSUCIO,40817.0,274894466.0,1.0,SI,27489446.6,0.22466977199897506,1.7024715222895757,0.9635706471442753
abel_jose_ortega_de_la_hoz,Alcaldia_fun,M,Magdalena,El Piñon,Agrupacion Politica,MOVIMIENTO ALIANZA DEMOCRATICA AMPLIA,1.0,0.0,0.0,2950000.0,0.0,0.0,0.0,800000.0,1340000.0,0.0,0.0,5090000.0,0.0,0.0,0.5795677799607073,0.0,0.0,0.0,0.15717092337917485,0.2632612966601179,0.0,0.0,1.0,5100000.0,0.0,0.0,0.0,0.0,0.0,0.0,5100000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,magdalena,el pinon,MAGDALENA,EL PIÑON,14073.0,144319596.0,1.0,NO,14431959.600000001,0.03526894573623945,0.0,0.017634472868119724
abelardo_rojas_valencia,Alcaldia_fun,M,Putumayo,Leguízamo,Coalicion Politica,PACTO HISTORICO,5.0,6400000.0,0.0,5004000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11404000.0,0.5612065941774815,0.0,0.4387934058225184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11404000.0,0.0,0.0,0.0,0.0,0.0,11404000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,putumayo,puerto leguizamo,PUTUMAYO,PUERTO LEGUIZAMO,15748.0,144319596.0,1.0,NO,14431959.600000001,0.0790190682074803,0.7901906820748028,0.43460487514114154
abraham_gonzalez_porras,Alcaldia_fun,M,Santander,Galán,Agrupacion Politica,PARTIDO LIBERAL COLOMBIANO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5000000.0,300000.0,0.0,0.0,0.0,0.0,0.0,5300000.0,0.9433962264150944,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,santander,galan,SANTANDER,GALAN,2584.0,144319596.0,1.0,NO,14431959.600000001,0.004157439575981075,0.02078719787990537,0.012472318727943223
abraham_homero_angulo_garcia,Alcaldia_fun,M,Córdoba,Cereté,Agrupacion Politica,PARTIDO POLITICO DIGNIDAD & COMPROMISO,4.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,4767269.0,0.0,0.0,4967269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0402635734042187,0.9597364265957813,0.0,0.0,3.0,7098500.0,970269.0,0.0,0.0,0.0,0.0,0.0,8068769.0,0.8797500585281348,0.12024994147186516,0.0,0.0,0.0,0.0,0.0,cordoba,cerete,CORDOBA,CERETE,78108.0,824683400.0,1.0,SI,82468340.0,0.006023243586569101,0.011765351406370007,0.008894297496469554
absalon_calvo_torres,Alcaldia_fun,M,Huila,Campoalegre,Agrupacion Politica,MOVIMIENTO FUERZA CIUDADANA,3.0,0.0,1400000.0,0.0,0.0,0.0,0.0,800000.0,4800000.0,0.0,0.0,7000000.0,0.0,0.2,0.0,0.0,0.0,0.0,0.11428571428571428,0.6857142857142857,0.0,0.0,1.0,7050000.0,0.0,0.0,0.0,0.0,0.0,0.0,7050000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,huila,campoalegre,HUILA,CAMPOALEGRE,26080.0,274894466.0,1.0,SI,27489446.6,0.0254643176410834,0.0,0.0127321588205417
absalon_de_jesus_arias_arias,Alcaldia_fun,M,Tolima,Fresno,Agrupacion Politica,PARTIDO LIGA GOBERNANTES ANTICORRUPCION,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tolima,fresno,TOLIMA,FRESNO,27999.0,274894466.0,1.0,SI,27489446.6,0.001818879831505957,0.018188798315059568,0.010003839073282762
adair_lozano_osorio,Alcaldia_fun,M,Meta,Acacias,Agrupacion Politica,PARTIDO LIGA GOBERNANTES ANTICORRUPCION,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,8000000.0,0.0,0.0,10500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.7619047619047619,0.0,0.0,2.0,0.0,10500000.0,0.0,0.0,0.0,0.0,0.0,10500000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,meta,acacias,META,ACACIAS,71398.0,824683400.0,1.0,SI,82468340.0,0.01273215878966401,0.12732158789664008,0.07002687334315205
adalberto_cotes_nieto,Alcaldia_fun,M,Bolívar,San Martin de Loba,Agrupacion Politica,PARTIDO CONSERVADOR COLOMBIANO,20.0,6600000.0,1000000.0,5000000.0,9500000.0,5632200.0,0.0,9000000.0,5600000.0,0.0,0.0,42332200.0,0.15590968577111514,0.02362267966229017,0.11811339831145086,0.22441545679175662,0.1330476563939507,0.0,0.21260411696061154,0.13228700610882496,0.0,0.0,6.0,96664400.0,9000000.0,0.0,0.0,0.0,0.0,0.0,105664400.0,0.9148246713178705,0.08517532868212946,0.0,0.0,0.0,0.0,0.0,bolivar,san martin de loba,BOLIVAR,SAN MARTIN DE LOBA,12700.0,144319596.0,1.0,NO,14431959.600000001,0.29332260603057675,0.6236159363971612,0.45846927121386893
